EFFECTIVE DATE: 02 JANUARY 2026,,,,,,,,,,,,
SKU,Detailed Description,List Price,List Price/Month,Support Pricing Information,Product Family,Product Sub-Family,Country of Origin (COO),Cloud Marketplace,End of Sale,End of Life,EOS Replacement SKU,Support Available
GVS-TAX20E-SW-TM,Monthly GigaVUE-OS term license for GigaVUE-TA25E; 48 1/10/25G & 8 40/100G ports enabled (GVS-TAX[21E/22E]-HW). Includes Bundled Elite-Plus Software Support.,  ," $1,205.00 ",,Taps and Aggregators,GigaVUE-TA25E,United States,,,,,TRUE
GVS-TAX20EA-SW-TM,Monthly GigaVUE-OS term license for GigaVUE-TA25E; 24 1/10/25G & 4 40/100G ports enabled (GVS-TAX[21E/22E]-HW). Includes Bundled Elite-Plus Software Support.,  , $685.00 ,,Taps and Aggregators,GigaVUE-TA25E,United States,,,,,TRUE
GVS-TAX20EB-SW-TM,Monthly GigaVUE-OS term license for GigaVUE-TA25E; 12 1/10/25G & 2 40/100G ports enabled (GVS-TAX[21E/22E]-HW). Requires CLS-TAX20E-SW-TM for the same term duration. Includes Bundled Elite-Plus Software Support.,  , $415.00 ,,Taps and Aggregators,GigaVUE-TA25E,United States,,,,,TRUE
GVS-TAX21,"GigaVUE-TA25 node, 8 40G/100G QSFP28 cages + 48 10G/25G SFP28 cages, 2 power supplies, 4 fan trays, AC power, all ports enabled. (EOS Jul 7, 2025)"," $37,320.00 ",  ,,Taps and Aggregators,GigaVUE-TA25,Taiwan,,7/7/2025,12/7/2030,GVS-TAX21E,TRUE
GVS-TAX21-HW,"GigaVUE-TA25 node, 48 1/10/25G SFP28 cages + 8 40/100G QSFP28 cages, 2 power supplies, 4 fan trays, AC power, 24 1/10/25G ports enabled. Hardware only. Must pair with appropriate GigaVUE-OS Software License. (EOS Jul 7, 2025)"," $4,045.00 ",  ,,Taps and Aggregators,GigaVUE-TA25,Taiwan,,7/7/2025,12/7/2030,GVS-TAX21E-HW,TRUE
GVS-TAX21-SW-TM,"Monthly GigaVUE-OS term license for GigaVUE-TA25; all ports enabled (GVS-TAX21-HW). Includes Bundled Elite-Plus Software Support.  (EOS Feb 28, 2023)",  ," $1,205.00 ",,Taps and Aggregators,GigaVUE-TA25,United States,,2/28/2023,,GVS-TAX20-SW-TM,TRUE
GVS-TAX21A,"GigaVUE-TA25 node, 48 1/10/25G SFP28 cages + 8 40/100G QSFP28 cages, 2 power supplies, 4 fan trays, AC power, 24 1/10/25G ports enabled. (EOS Jul 7, 2025)"," $22,325.00 ",  ,,Taps and Aggregators,GigaVUE-TA25,Taiwan,,7/7/2025,12/7/2030,GVS-TAX21EA,TRUE
GVS-TAX21A-HW,"GigaVUE-TA25 node, 8 40G/100G QSFP28 cages + 48 1G/10G/25G SFP28 cages, 2 power supplies, 4 fan trays, AC power, 24 10G/25G ports enabled.. Hardware only. Must pair with appropriate GigaVUE-OS Software License. (EOS Jul 7, 2025)"," $4,045.00 ",  ,,Taps and Aggregators,GigaVUE-TA25,Taiwan,,7/7/2025,12/7/2030,GVS-TAX21E-HW,TRUE
GVS-TAX21A-SW-TM,"Monthly GigaVUE-OS term license for GigaVUE-TA25; 24  1/10/25G ports enabled (GVS-TAX21A-HW). Includes Bundled Elite-Plus Software Support.  (EOS Feb 28, 2023)",  , $685.00 ,,Taps and Aggregators,GigaVUE-TA25,United States,,2/28/2023,,GVS-TAX20A-SW-TM,TRUE
GVS-TAX21E,"GigaVUE-TA25E node, 48 1/10/25G SFP28 cages & 8 40/100G QSFP28 cages, 2 power supplies, 6 fan trays, AC power, 48 1/10/25G & 8 40/100G ports enabled."," $37,320.00 ",  ,,Taps and Aggregators,GigaVUE-TA25E,Taiwan,,,,,TRUE
